former keys,new key,value
error_user_not_registered / LoginError.identifierDoesNotExist,,Vi kan inte hitta någon registrerad användare med den angivna e-postadressen. Kontrollera e-postadressen och försök igen.
error_subscription_expired_title / NSError.oopsTitle,,Ojdå!
error_subscription_expired_message / NSError.no_active_membership_message,,Du verkar inte ha ett aktivt medlemskap i Viktklubb. Har det gått ut?
error_userservice_title / NSError.hoppsanTitle,,Hoppsan!
error_userservice_message / NSError.oops_unauthorized_access_message,,Du har loggats ut. Det var inte meningen", försök logga in igen.
error_request_failed_title / NSError.hoppsanTitle,,Hoppsan!
error_request_failed_mesasge / NSError.generalErrorMessage,,Någonting gick fel. Försök igen om en stund.
settings / general.settings,,Inställningar
unit_g / AFTSearchItem.defaultUnitForFoodstuff,,g
unit_kg / AFTExerciseItem.kg,,kg
unit_cm / cm,,cm
breakfast / breakfast,,Frukost
lunch / lunch,,Lunch
dinner / dinner,,Middag
snack / snack,,Mellanmål
motion / LogbookViewController.exercise,,Motion
logging_persistence_today / AFTNSDate.today,,idag
search / PlusViewController.search,,Sök
connect_with_other_apps / SettingsViewController.externalSourcesHeader,,Koppla ihop med andra appar
accept / general.save,,Spara
delete / general.swipeToDelete,,Ta bort
quicklog_cal_food_label / CreateRecipe.kcal,,kcal
quicklog_title / PlusViewController.quickLog,,Snabblogga
minutes_short / AFTSearchItem.defaultUnitForExercise,,min
reps / reps,,reps
kgs / AFTExerciseItem.kg,,kg
quicklogged / AFTCalorieContextItemViewController.default_quicklog_name,,Snabbloggat
instructions / CreateRecipe.instructions,,Instruktioner
ingredients / CreateRecipe.ingredients,,Ingredienser
gram_short / AFTSearchItem.defaultUnitForFoodstuff,,g
logged_as / SettingsViewController.loggedUserName,,Inloggad som %1$s
fat / CreateFoodStuff.fat,,Fett
carbohydrates / CreateFoodStuff.carbohydrates,,Kolhydrater
protein / CreateFoodStuff.protein,,Protein
alkohol / CreateFoodStuff.alcohol,,Alkohol
target_weight / ProfileViewController.targetWeight,,målvikt
featured_recipes_tab_title / RecipesViewController.suggestions,,Tips
filtered_recipes_tab_title / RecipeSuggestionsSelectFiltersViewController.filter,,Filter
my_recipes_tab_title / RecipesViewController.own,,Eget
favorite_recipes_tab_title / RecipesViewController.favourites,,Favoriter
recipe_search_hint / RecipesSearchViewController.searchPlaceholder,,Sök efter recept
sp_next / general.next,,Nästa
Height / ProgramSummaryViewController.height,,Längd
sp_pick_fast_days_info / AFTSelectDaysProfileViewController.selectDaysInfo,,Välj dagar så att de inte ligger efter varandra.
Abort / general.cancel,,Avbryt
sp_input_waist_info_empty_input / AFTStartProgramTypeNumberViewController.waistCommentBadInput,,Det är ok att uppskatta. Du kan uppdatera detta senare.
sp_title_keep_weight / ProfileViewController.programNameKeepWeight,,Hålla vikten
sp_restart_cancel_button / general.abort,,Nej
service_unavailable_dialog_title / NSError.hoppsanTitle,,Hoppsan!
service_unavailable_dialog_message / NSError.generalErrorMessage,,Någonting gick fel. Försök igen om en stund.
sp_summary_diet_5_2 / ProgramSummaryViewController.fastDays,,Fastedagar
sp_summary_plan_type / ProgramSummaryViewController.dietPlan,,Kostplan
meeting_place / AFTMeetingPlacesBlogPostViewController.pageTitle,,Blogginlägg
diet_filter / RecipeSuggestionsSelectFiltersViewController.dietType,,Specialkost
meal_type_filter / AFTMealViewController.context_picker_title,,Måltid
main_ingredient_filter / RecipeSuggestionsSelectFiltersViewController.mainIngredientType,,Huvudingrediens
type_of_dish_filter / RecipeSuggestionsSelectFiltersViewController.dishType,,Typ
select / RecipeSuggestionsSelectTagsViewController.select,,Välj
save / general.save,,Spara
select_all / RecipeSuggestionsSelectTagsViewController.selectAll,,Alla
choose_waist_dialog_header / BodyStatisticsViewController.updateWaistPopupTitle,,Ändra midjemått
register_waist / BodyStatisticsViewController.registerWaistButton,,Spara midjemått
choose_weight_dialog_header / BodyStatisticsViewController.registerWeightPopupTitle,,Ange vikt
register_weight / BodyStatisticsViewController.registerWeightButton,,Spara vikt
strava / externalSources.Strava,,Strava
kcal_per_portion / CreateRecipe.kcalPerPortion,,kcal/port
register_weight_button_title / ProfileViewController.registerWeight,,Registrera ny vikt
register_waist_button_title / BodyStatisticsViewController.registerWaist,,Registrera midjemått
sp_goal_weight_info / AFTStartProgram.goalWeightLoss,,Jag vill gå ner %1$s kg för att nå en målvikt på
sp_peace / AFTStartProgramCalorieLevelsViewController.kilosPerWeek,,%1$s kg/vecka
sp_partial_goal_calories_header / AFTStartProgramPartialGoalViewController.withKcalLimit,,med ett dagligt kaloriintag på
sp_edit_partial_goal_activity_title / ProgramSummaryViewController.dailyKcalIntake,,Dagligt kaloriintag
sp_edit_partial_deadline_header_full / AFTStartProgramCalorieLevelsViewController.kilosToLose,,kan du nå %1$s kg på
notification_healthy_goal_weight / AFTStartProgramInfoData.healthyGoalWeightTitle,,Vad är en hälsosam målvikt?
dialog_confirm / general.ok,,OK
final_goal_reached_dialog_title / NotificationViewController.youDidIt,,Du gjorde det!
final_goal_reached_dialog_next_button_title / general.next,,Nästa
final_goal_reached_next_action_dialog_title / NotificationNewPlanViewController.whatNow,,Nu då?
final_goal_reached_next_action_abort / NotificationNewPlanViewController.keepOldProgramButton,,Avsluta utan nytt program
first_partial_goal_reached_dialog_title / NotificationViewController.niceWork,,Snyggt jobbat!
first_partial_goal_reached_next_button / NotificationViewController.showNextTarget,,Visa nästa delmål
first_partial_goal_reached_next_action_dialog_title / NotificationViewController.nextGoal,,Nästa delmål
next_partial_goal_calories_intake_header / AFTStartProgramPartialGoalViewController.withKcalLimit,,med ett dagligt kaloriintag på
next_partial_goal_next_button / NotificationViewController.ok,,Ok!
Done / general.done,,Klar
your_final_goal / AFTStartProgramPartialGoalViewController.weightLabelFinalGoal,,Din målvikt på
partial_gotal_reached_percentage_partial_goal / NotificationViewController.goalComplete10Percent,,Du har gått ner 10% av din startvikt! Det är riktigt bra och risken för att få komplikationer orsakade av din vikt har minskat rejält! Bara det faktum att du väger mindre påverkar kroppens funktioner en hel del. Fortsätt på samma fina sätt så kommer de positiva effekterna att bli både tydligare och fler. Grattis - bra jobbat!
pace_equals_one_week / AFTWeeks.oneWeek,,1 vecka
pick_fast_days_ok / NotificationViewController.ok,,Ok!
monday / monday,,Måndag
tuesday / tuesday,,Tisdag
wednesday / wednesday,,Onsdag
thursday / thursday,,Torsdag
friday / friday,,Fredag
saturday / saturday,,Lördag
sunday / sunday,,Söndag
summary_program_daily_calories / ProgramSummaryViewController.dailyKcalIntake,,Dagligt kaloriintag
create_food_name_hint / CreateFoodStuff.namePlaceholder,,Namnge livsmedel (obligatorisk)
create_recipe_name_hint / CreateRecipe.namePlaceholder,,Namnge recept (obligatorisk)
create_food_custom_unit_hint / CreateFoodStuff.customUnitComment,,Namn på egen enhet
create_food_nutrition_dialog_positive / general.ok,,OK
create_food_nutrition_dialog_negative / general.cancel,,Avbryt
change / RecipesSearchViewController.editFilters,,ÄNDRA
custom_unit_info / CreateFoodStuff.customUnitSubComment,,(t.ex. skiva eller st)
publisher / SettingsViewController.responsiblePublisherButtonTitle,,Ansvarig utgivare
activity_publisher_title / SettingsViewController.responsiblePublisherButtonTitle,,Ansvarig utgivare
create_food_grams_per_milliliter_hint / CreateFoodStuff.unitConversionCommentGramsPerMilliliter,,Gram (g) per milliliter
info_food_created / UIViewController.AFTConfirmation.foodCreated,,Livsmedel skapat
info_recipe_created / UIViewController.AFTConfirmation.recipeCreated,,Recept skapat
info_recipe_deleted / UIViewController.AFTConfirmation.recipeDeleted,,Recept raderat
feed_blog_button_text / EditorialViewController.moreFromViktklubb,,Mer från Viktklubb
articles_activity_title / EditorialViewController.articleSection,,Mer läsning
meetingplaces_activity_title / EditorialViewController.meetingPlacesSection,,Bloggar
article_activity_title / EditorialFeedViewController.title,,Läsning
internal_web_page_title / EditorialFeedViewController.title,,Läsning
dialog_barcode_connection_title / NSError.noBarcodeInDBTitle,,Streckkoden saknas
dialog_barcode_connection_message / NSError.noBarcodeInDBMessage,,Den scannade streckkoden finns tyvärr inte i vår databas. Vill du koppla ihop streckkoden med matvaran?
dialog_barcode_connection_button_positive / general.searchAndConnect,,Koppla streckkoden
barcode_connection_search_empty_description / BarcodeConnectSearch.searchToConnect,,Sök efter en vara för att koppla den med den scannade streckkoden.
item_already_connected_with_barcode / FoodstuffItemViewController.userBarcodeConnectionExists,,Varan är redan kopplad till en streckkod
remove_local_match / FoodstuffItemViewController.removeBarcodeConnection,,Ta bort min koppling till streckkod
item_has_barcode / FoodstuffItemViewController.barcodeConnectionExists,,Varan har streckkod
foodstuffs_search_tab_title / SelectFoodSearch.foodstuff,,Matvaror
recipes_search_tab_title / Tabbar.recipe,,Recept
tutorial_meeting_places / Hint.MeetingPlaces.HintText,,Kom igång med Mötesplatsens bloggar! Här kan du läsa och kommentera på våra populära medlems- och expertbloggar.
tutorial_register_weight / Hint.RegisterWeight.HintText,,Här kan du registrera eller ändra veckans vikt. Lägg in den nya vikten och klicka på spara. Varje kilo räknas!
tutorial_camera_flash / Hint.BarcodeFlashlight.HintText,,Försök slå på blixten om du har problem med att identifiera streckkoden.
create_recipe / CreateRecipe.createRecipeTitle,,Skapa nytt recept
edit_recipe_title / CreateRecipe.editRecipeTitle,,Redigera eget recept
copy_recipe_title / CreateRecipe.copyRecipeTitle,,Nytt recept från kopia
create_recipe_portion_label / RecipeDetailsViewController.portions,,portion(er)
add_to_recipe / CreateRecipe.ingredientAddToRecipe,,Lägg till i recept
tags / CreateRecipe.tagsTitle,,Kategorier
ingredients_manager_empty_text / CreateRecipe.searchForIngredient,,Scanna eller sök efter en vara för att lägga till den i receptet.
discard_edited_recipe_warning_title / CreateRecipe.editRecipeQuitAlertTitle,,Vill du radera dina ändringar?
cancel / general.cancel,,Avbryt
discard_recipe_warning_cancel / UIViewController.AFTConfirmation.recipeDeleted,,Recept raderat
action_edit_recipe / CreateRecipe.editRecipe,,Redigera recept
action_delete_recipe / CreateRecipe.deleteRecipe,,Radera recept
make_a_copy / CreateRecipe.copyRecipe,,Kopiera recept
delete_food_warning_title / CreateRecipe.deleteRecipeAlertTitle,,Bekräfta borttagning
copy_recipe_name / CreateRecipe.copiedNameTemplate,,Kopia av %1$s
delete_food_warning_positive / CreateRecipe.deleteRecipeConfirm,,Radera
default_recipe_unit_name / AFTSearchItem.defaultUnitForRecipeShort,,port
default_foodstuff_unit_name / AFTSearchItem.defaultUnitForFoodstuff,,g
activity_logging_persistence / LoggedSummaryViewController.loggedMotion,,Loggad motion
food_logging_calories_and_activities / WeeklyInsights.foodAndDrinkStatistics,,Loggade kcal
food_logging_persistence_info_title / InfoViewController.aboutFoodAndDrinkTitle,,Om loggad mat och dryck
activity_logging_persistence_info_title / InfoViewController.aboutLoggedMotionTitle,,Om loggad motion
food_logging_calories_and_activities_info_title / InfoViewController.aboutLoggedKcalTitle,,Om loggade kcal
change_daily_calorie_button_title / LoggingStatistics.changeKaloriePaceLevel,,Ändra dagligt kaloriintag
week_vs_month_activity_logging / WeeklyInsights.exerciseStatistics,,Ditt genomsnitt motion
days_per_week / LoggingStatistics.daysInWeek,,dagar/vecka
day_per_week / LoggingStatistics.dayInWeek,,dag/vecka
week_vs_month_logging_info_title / InfoViewController.aboutAverageTitle,,Om ditt genomsnitt
activity_logging_stats_title / LoggingStatistics.titleExercise,,Statistik över motion
week_vs_month_food_logging_super_positive_feedback / LoggingStatistics.foodLoggingEqualPositiveFeedback,,Snyggt! Du fortsätter att vara flitig att logga", detta kommer ge resultat.
week_vs_month_food_logging_positive_feedback / LoggingStatistics.foodLoggingPositiveFeedback,,Snyggt! Du har loggat mat och dryck mer flitigt den senaste veckan. Fortsätt använda loggboken för ännu bättre koll på kaloriintaget.
week_vs_month_food_logging_equal_negative_feedback / LoggingStatistics.foodLoggingEqualNegativeFeedback,,Du fortsätter logga lika ofta som tidigare. Försök att logga varje dag för total koll på kaloriintaget.
week_vs_month_food_logging_negative_feedback / LoggingStatistics.foodLoggingNegativeFeedback,,Du har loggat mat och dryck på färre dagar än vanligt på sistone. Ta chansen att vända trenden till nästa vecka!
week_vs_month_activity_logging_super_positive_feedback / LoggingStatistics.exerciseLoggingEqualVeryPositiveFeedback,,Snyggt! Du fortsätter att träna lika ofta", fortsätt håll den goda vanan.
week_vs_month_activity_logging_positive_feedback / LoggingStatistics.exerciseLoggingPositiveFeedback,,Snyggt jobbat! Du har ökat din träningsfrekvens denna vecka.
week_vs_month_activity_logging_equal_positive_feedback / LoggingStatistics.exerciseLoggingEqualPositiveFeedback,,Du fortsätter träna lika ofta som tidigare. Se om du kan få in fler träningstillfällen i din vardag.
week_vs_month_activity_logging_negative_feedback / LoggingStatistics.exerciseLoggingNegativeFeedback,,Din träningsfrekvens ser ut att ha minskat. Reflektera över varför och ta nya tag!
log_quick_kcal / AFTSelectFoodViewController.logKcal,,Snabblogga kalorier
quick_log_name_warning / QuickLogViewController.infoText,,* Snabbinlägg sparas inte och är inte sökbara.
ask_for_review_negative_button / general.notNow,,Inte nu
ask_for_review_feedback_negative_button / general.notNow,,Inte nu
macronutrients / FoodstuffItemViewController.nutrientDetails,,Näringsvärde
weight_plan_basics_final_goal / ProfileViewController.targetWeight,,målvikt
weight_plan_basics_diet_type_5_2 / ProgramSummaryViewController.dietPlan52,,5:2
edit_recipe_warning_title / CreateRecipe.editAlertTitle,,Ändra tidigare loggningar?
edit_recipe_warning_message / CreateRecipe.editAlertBody,,Om du redigerar ditt recept ändras även alla tidigare loggningar av samma recept. Då kommer även tidigare dagars kaloribalans att ändras. Skapa en kopia av receptet om du inte vill ändra tidigare loggningar av receptet.
dialog_continue / general.continue,,Fortsätt
external_service_disconnect_positive_button / general.confirm,,Ja
external_service_disconnect_negative_button / general.abort,,Nej
external_service_disconnect_popup_title / SettingsViewController.externalSourceDisconnectConfirmationTitleTemplate,,Sluta hämta med %1$s
external_service_disconnect_popup_message / SettingsViewController.externalSourceDisconnectConfirmationQuestion,,Vill du verkligen ta bort möjligheten att hämta?
external_service_access_denied_popup_title / NSError.externalSourceSyncNoTokenErrorTitle,,Godkänn koppling till %1$s
external_service_access_denied_popup_message / NSError.externalSourceSyncNotokenErrorMessage,,Vi kunde inte sätta upp en koppling till %1$s då du inte har godkänt den.
external_service_error_popup_title / NSError.externalSourceCannotBeReachedErrorTitle,,%1$s svarar inte
external_service_error_popup_message / NSError.externalSourceCannotBeReachedErrorMessage,,%1$s verkar inte svara just nu tyvärr. Försök igen senare!
external_service_viktklubb_server_error_popup_title / NSError.hoppsanTitle,,Hoppsan!
external_service_viktklubb_server_error_popup_message / NSError.generalErrorMessage,,Någonting gick fel. Försök igen om en stund.
external_service_sync_completed_message / UIViewController.AFTConfirmation.externalSourceItem,,Hämtade %1$s %2$s-aktivitet
weight_plan_diet_type_regular / ProgramSummaryViewController.dietPlanNormal,,lika mycket varje dag
weight_plan_start / StartProgramSummaryViewController.startButton,,Starta mitt program
weight_plan_name_lose_weight / ProfileViewController.programNameLoseWeight,,Gå ner i vikt med delmål
weight_plan_name_keep_weight / ProfileViewController.programNameKeepWeight,,Hålla vikten
weight_plan_name_lose_weight_5_2 / ProfileViewController.programNameLoseWeight52,,Gå ner i vikt med delmål och 5:2
weight_plan_name_keep_weight_5_2 / ProfileViewController.programNameKeepWeight52,,Hålla vikten med 5:2
partial_goals_goal_description / ProfileViewController.goalInfoTemplate,,Från %1$s till %2$s
cm_string / AFTStartProgramPartialGoalViewController.cmLabelValue,,%1$s cm
keep_weight_plan_warning_line_legend / ProfileViewController.maxKeepWeight,,viktvarning
partial_goals_screen_title / PartialGoalsViewController.allGoalsTitle,,Alla delmål
edit_fast_days_activity_title / ProgramSummaryViewController.fastDays,,Fastedagar
not_started_yet / PartialGoalsViewController.notAchieved,,Inte börjat än
tab_title_logbook / Tabbar.logbook,,Loggbok
tab_title_recipes / Tabbar.recipe,,Recept
tab_title_profile / Tabbar.profile,,Profil
tab_title_meeting_places / Tabbar.meetingPlaces,,Mötesplatsen
kcal_string / AFTStartProgramPartialGoalViewController.kcalLabelValue,,%1$s kcal
logbook_calories_bar_kcal_eaten / LogbookViewController.kcalEaten,,kcal ätit
logbook_calories_bar_kcal_burned / LogbookViewController.kcalTrained,,kcal tränat
logbook_header_activity / LogbookViewController.exercise,,Motion
logbook_header_nutritions / LogbookViewController.nutritionFacts,,Näringsinfo
logbook_third_parties_hint / LoggedSummaryViewController.connectExternalSource,,Koppla ihop med träningsappar
meal_summary_copy / LoggedSummaryViewController.copyMeal,,Kopiera till annan dag
summary_log_more / LoggedSummaryViewController.logMoreTemplate,,Lägg till mer i %1$s
meal_summary_logged_items / SelectFoodSearch.foodstuff,,Matvaror
activity_summary_logged_items / LogbookViewController.exercise,,Motion
meal_summary_kcal / LogbookViewController.kcalEatenTemplate,,%1$s / %2$s kcal
meal_summary_chart_title / LoggedSummaryViewController.energyDistribution,,Energifördelning för %1$s
kcal / CreateRecipe.kcal,,kcal
logbook_nutritions_mass_header / LogbookViewController.nutritionInGrams,,Näringsvärde i gram
logbook_nutritions_consumed_column_title / LogbookViewController.consumed,,Konsumerat
logbook_nutrition_calories_header / LogbookViewController.energySourcePercentage,,Energifördelning i %
weekly_insights_button_title / LogbookViewController.seeWeeklyInsights,,Se veckoöversikt
hide_weekly_insights_button_title / WeeklyInsights.close,,Dölj veckoöversikt
weekly_insights_title / WeeklyInsights.weeklyOverview,,Veckoöversikt
weekly_insights_see_more_activity_stats_button_title / WeeklyInsights.seeMoreExerciseStatistics,,Se mer statistik över motion i din profil
scan_button_title / PlusViewController.scan,,Scanna
search_food_button_title / SelectFoodViewController.searchFoodPlaceholder,,Sök mat eller varumärke
search_activity_button_title / SelectFoodViewController.searchMotionPlaceholder,,Sök aktivitet
select_food_commonly_logged_header / SelectFoodViewController.commonlyLoggedFoodTemplate,,Mest loggat till %1$s
select_activity_commonly_logged_header / SelectFoodViewController.commonlyLoggedExercise,,Dina vanliga motionsval
select_food_commonly_logged_empty_header / SelectFoodViewController.commonlyLoggedFoodNoResults,,Du har inte loggat mat ännu
select_activity_commonly_logged_empty_header / SelectFoodViewController.commonlyLoggedExerciseNoResults,,Du har inte loggat motion ännu
activity_title_copy_meal / MealViewController.copyMealTitle,,Kopiera måltid
copy_items_copy_to_header / MealViewController.copyTo,,Kopiera till
select_food_shortcut_commonly_logged / SelectFoodViewController.allCommonlyLogged,,Tidigare val
select_food_shortcut_planned_food / PlannedMenuViewController.menuTitle,,Meny
select_food_shortcut_own / RecipesViewController.own,,Eget
select_food_shortcut_favorites / RecipesViewController.favourites,,Favoriter
user_items_activity_title / RecipesViewController.own,,Eget
favorite_items_activity_title / RecipesViewController.favourites,,Favoriter
commonly_logged_category_dropdown_activity / SelectFoodViewController.commonlyLoggedExercise,,Dina vanliga motionsval
search_activity_query_hint / SelectFoodViewController.searchMotionPlaceholder,,Sök aktivitet
food_search_results_create_foodstuff_button_title / SelectFoodSearch.createFoodstuffButton,,Skapa livsmedel
food_search_results_create_recipe_button_title / SelectFoodSearch.createRecipeButton,,Skapa recept
foodstuff_search_no_results / SelectFoodSearch.noResultsIngredients,,Tyvärr hittade vi inte det du söker. Kolla stavningen eller prova ett annat sökord.
recipe_search_no_results / SelectFoodSearch.noResultsRecipe,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen", försök med ett annat ord eller skapa ett nytt recept.
activities_search_no_results / SelectFoodSearch.noResultsExercise,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen eller försök med ett annat ord.
search_foodstuff_for_barcode_connection_query_hint / BarcodeConnectSearch.searchPlaceholder,,Sök livsmedel
log_food_log_tab_title / RecipeDetailsViewController.log,,Logga
log_food_instructions_tab_title / CreateRecipe.instructions,,Instruktioner
portions / RecipeDetailsViewController.portions,,portion(er)
recipe_details_ingredients_header / CreateRecipe.ingredients,,Ingredienser
recipe_energy_distribution_chart_title / RecipeDetailsViewController.energyDistribution,,Energifördelning
barcode_connection_removed / AFTCalorieContextItemViewController.barcodeDisconnected,,Streckkod borttagen
navigation_search_action_title / PlusViewController.search,,Sök
navigation_scan_action_title / PlusViewController.scan,,Scanna
edit_weightplan_button_title / ProfileViewController.editMyProgramButton,,Ändra mitt program
filters_empty_no_results_set_info / SelectFoodSearch.noResultsExercise,,Tyvärr hittade vi inte det du letade efter. Kontrollera stavningen eller försök med ett annat ord.
filters_section_no_filters / RecipesSearchViewController.noFiltersSelected,,Inga filter valda
filters_section_action_edit / CreateFoodStuff.changeNutrients,,Ändra
filters_section_activate_filters / AFTRecipeSuggestionsViewController.addFilter,,Lägg till filter
filters_section_min_rating_title / RecipeSuggestionsSelectFiltersViewController.minimumRating,,Minimibetyg
filters_tags_clear_all_warning_confirm / general.continue,,Fortsätt
recipe_details_rating_header / RecipeDetailsViewController.rating,,Mitt betyg
mp_post_activity_title / AFTMeetingPlacesBlogPostViewController.pageTitle,,Blogginlägg
logbook_note_header / DailyNoteViewController.dailyNoteTitle,,Anteckning
logbook_header_more / LogbookViewController.dailySectionTitle,,Övrigt
mood_rating_header / LogbookViewController.dailyFeedbackTitle,,Känslobarometern
sp_healthy_goal_weight_title / InfoViewController.healthyGoalTitle,,En hälsosam målvikt
sp_about_bmi_warning / AFTStartProgramInfoData.weightBelowBMI25Title,,Du är normalviktig
sp_about_bmi_title / InfoViewController.aboutBMITitle,,Om din vikt och BMI
sp_min_weight_reached_warning / AFTStartProgramInfoData.weightBelowBMI20Title,,Du bör inte gå ner mer i vikt
sp_min_weight_reached_title / AFTStartProgramInfoData.weightBelowBMI20Title,,Du bör inte gå ner mer i vikt
sp_pace_above_1kg_title / AFTStartProgramInfoData.loseQuickerPaceLevelWarningTitle,,Vid snabb viktminskning
